id,candidate,office,state,category,policy_title,description,bill_references,claims_empirical,equity_dimension,geographic_scope,data_sources_needed
FH-ENV-004,Francesca Hong,Governor,WI,Environment,Conservation,Reauthorize Knowles-Nelson Stewardship Program,,,land_preservation,statewide,"stewardship_acres,program_funding,land_acquisitions"
FH-ENV-005,Francesca Hong,Governor,WI,Environment,Restoring the DNR,Fund and depoliticize DNR; science-based policy,,,environmental_governance,statewide,"dnr_staffing,enforcement_actions,rulemaking_timeline"
FH-ENV-006,Francesca Hong,Governor,WI,Environment,Line 5 pipeline,Support legal challenge to Enbridge Line 5 reroute; defend tribal sovereignty,,,tribal_sovereignty,regional,"pipeline_route,tribal_lands,environmental_impact"
FH-IMM-001,Francesca Hong,Governor,WI,Immigration,ICE cooperation,Keep Families Together package; prevent local ICE cooperation,,,immigration_rights,statewide,"ice_detainer_requests,deportation_stats"
FH-IMM-002,Francesca Hong,Governor,WI,Immigration,State IDs,Government IDs for all residents regardless of documentation,SB1108 (2023),,civil_rights,statewide,"undocumented_population_est,id_access_barriers"
FH-IMM-003,Francesca Hong,Governor,WI,Immigration,In-state tuition for DACA,Extend in-state tuition to DACA recipients,SB843 (2023),,education_access,statewide,"daca_recipients,uw_enrollment,tuition_gap"
FH-LABOR-001,Francesca Hong,Governor,WI,Labor,Repeal Act 10,Repeal Act 10; enshrine constitutional right to organize; reinstate prevailing wages,,,labor_rights,statewide,"union_membership_rate,wage_trends_post_act10"
FH-LABOR-002,Francesca Hong,Governor,WI,Labor,Repeal right-to-work,Repeal 2015 WI Act 1,,Right-to-work linked to worse hours and deadlier workplaces,labor_rights,statewide,"workplace_fatality_rate,wage_growth,union_density"
FH-LABOR-003,Francesca Hong,Governor,WI,Labor,Union labor for infrastructure,Require union labor for public infrastructure,,,labor_rights,statewide,"infrastructure_spending,union_participation,project_wages"
FH-LABOR-004,Francesca Hong,Governor,WI,Labor,Ban non-competes,Ban non-compete clauses statewide,,,labor_mobility,statewide,"noncompete_prevalence,job_mobility,wage_suppression"
FH-LABOR-005,Francesca Hong,Governor,WI,Labor,End captive audience meetings,Ban mandatory anti-union meetings,,,labor_rights,statewide,"union_election_rates,unfair_labor_practices"
FH-BODY-001,Francesca Hong,Governor,WI,Bodily Autonomy,Constitutional abortion protection,Enshrine abortion access in state constitution,,,reproductive_rights,statewide,"abortion_access_distance,provider_count"
FH-BODY-002,Francesca Hong,Governor,WI,Bodily Autonomy,Gender-affirming care protections,Prevent legal retaliation against providers,,,health_equity,statewide,"gender_affirming_providers,insurance_exclusions"
FH-BODY-003,Francesca Hong,Governor,WI,Bodily Autonomy,Trans employment protections,Add gender identity to state employment protections,AB220 (2025),,civil_rights,statewide,"discrimination_complaints,employment_gap"
FH-CJ-001,Francesca Hong,Governor,WI,Criminal Legal Reform,Conditions of confinement,17-bill package: abolish prison slavery; hygiene; transparency,,,criminal_justice,statewide,"incarceration_rate,prison_conditions,complaints"
FH-CJ-002,Francesca Hong,Governor,WI,Criminal Legal Reform,Public defenders,Fund adequate public defense,,Currently only 25% of needed lawyers,legal_equity,statewide,"public_defender_caseload,staffing_ratio,case_outcomes"
FH-CJ-003,Francesca Hong,Governor,WI,Criminal Legal Reform,Crime prevention,Community-based prevention programs,AB1221 (2023),,community_safety,statewide,"crime_rates,program_funding,youth_enrollment"
FH-CJ-004,Francesca Hong,Governor,WI,Criminal Legal Reform,Recidivism,Expand reentry programs,,,criminal_justice,statewide,"recidivism_rate,reentry_program_capacity"
FH-CJ-005,Francesca Hong,Governor,WI,Criminal Legal Reform,Ban juvenile life sentences,Ban life sentences for juveniles,,27 states already ban,criminal_justice,statewide,"juvenile_life_sentences,states_banned"
FH-GUN-001,Francesca Hong,Governor,WI,Gun Safety,Responsible gun ownership,Red flag laws; safe storage; universal background checks,SB12 (2025),Majority of gun owners support,public_safety,statewide,"gun_violence_rate,background_check_volume"
FH-CANNABIS-001,Francesca Hong,Governor,WI,Cannabis,Legalizing cannabis,Full legalization with Michigan-style licensing,,,criminal_justice,statewide,"cannabis_arrests,projected_revenue,licensing_models"
FH-ECON-001,Francesca Hong,Governor,WI,Economic Justice,Economic Justice Bill of Rights,Constitutional resolution for economic rights,AJR33 (2025),,economic_equity,statewide,"poverty_rate,wage_gap,wealth_inequality"
FH-DISABILITY-001,Francesca Hong,Governor,WI,Disability,Home healthcare access,Reform IRIS home healthcare allocation,,,care_access,statewide,"iris_waitlist,home_care_availability"
FH-DISABILITY-002,Francesca Hong,Governor,WI,Disability,Disability income limits,Raise $37650 Medicaid income cliff,,$37650 cutoff,income_equity,statewide,"disability_medicaid_enrollment,income_cliff_affected"
FH-DISABILITY-003,Francesca Hong,Governor,WI,Disability,Home health worker support,Raise wages for home health aides,,,care_workforce,statewide,"home_health_wages,vacancy_rates,turnover"
FH-AG-001,Francesca Hong,Governor,WI,Agriculture,Breaking up Big Ag,Strengthen agricultural antitrust,,,rural_equity,statewide_rural,"farm_consolidation,small_farm_count,market_concentration"
FH-AG-002,Francesca Hong,Governor,WI,Agriculture,Agricultural cooperatives,Prioritize cooperative models,SB21 (2025),,rural_equity,statewide_rural,"coop_count,coop_revenue,member_farms"
FH-AG-003,Francesca Hong,Governor,WI,Agriculture,WI farmers feeding WI,Scale Badger Box program,,,food_access,statewide,"badger_box_distribution,local_food_procurement"
FH-AG-004,Francesca Hong,Governor,WI,Agriculture,Farm worker protections,Defend immigrant farm worker rights,,,labor_rights,statewide_rural,"farm_worker_injuries,wage_compliance,h2a_visa_count"
FH-AG-005,Francesca Hong,Governor,WI,Agriculture,Farmland preservation,Create Wisconsin Farmland Trust,,,land_preservation,statewide_rural,"farmland_loss_rate,land_prices,development_pressure"
FH-AG-006,Francesca Hong,Governor,WI,Agriculture,Regenerative agriculture,Fund regenerative practices; Producer-led Watershed,,,environmental_health,statewide_rural,"soil_health_metrics,watershed_quality,practice_adoption"
FH-AG-007,Francesca Hong,Governor,WI,Agriculture,CAFO regulation,Strengthen CAFO oversight,,,environmental_health,statewide_rural,"cafo_permits,water_quality_violations,proximity_population"
FH-SMBUS-001,Francesca Hong,Governor,WI,Small Businesses,Public bank for small business,North Dakota-model public bank,,,economic_opportunity,statewide,"small_business_loan_approval,sba_lending,bank_branch_closures"
FH-SMBUS-002,Francesca Hong,Governor,WI,Small Businesses,Anti-monopoly enforcement,Break up monopolies harming local businesses,,,economic_equity,statewide,"market_concentration,small_business_survival,antitrust_actions"
